filename,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,name,surah,juz
002037.mp3,0.29534432,1783.09692,1504.718782,3255.559782,0.086710334,0.111034977,Husary,Al-Bakara,1
002038.mp3,0.2728523,1666.291198,1451.042962,3060.054685,0.07780193,0.09474771,Husary,Al-Bakara,1
002039.mp3,0.30398986,1711.558642,1468.341218,3149.739009,0.09077454,0.107262683,Husary,Al-Bakara,1
002040.mp3,0.2855293,1919.123439,1405.278011,3313.098633,0.091326915,0.130072266,Husary,Al-Bakara,1
002041.mp3,0.26867965,1720.621588,1393.149116,3160.928706,0.08106252,0.104843036,Husary,Al-Bakara,1
002042.mp3,0.26382434,1702.086331,1478.856643,3133.394493,0.08013391,0.100023739,Husary,Al-Bakara,1
002043.mp3,0.27905506,1883.165345,1492.461922,3394.287362,0.07988448,0.11162413,Husary,Al-Bakara,1
002044.mp3,0.2927678,1740.219274,1500.120198,3272.732808,0.077639654,0.105332548,Husary,Al-Bakara,1
002045.mp3,0.28792736,1911.163091,1481.229447,3388.521497,0.079736464,0.122137387,Husary,Al-Bakara,1
002046.mp3,0.27710605,1701.197953,1493.947053,3174.430863,0.07882574,0.093521601,Husary,Al-Bakara,1
002047.mp3,0.28249106,1865.622073,1448.699503,3300.137676,0.08654387,0.118852444,Husary,Al-Bakara,1
002048.mp3,0.2931328,1708.118661,1543.662847,3231.537086,0.080345035,0.093791872,Husary,Al-Bakara,1
002049.mp3,0.2696486,1702.380796,1468.888184,3203.277538,0.08396449,0.095705119,Husary,Al-Bakara,1
002050.mp3,0.2688117,1473.791371,1410.637392,2864.501481,0.07934102,0.076660156,Husary,Al-Bakara,1
002051.mp3,0.26492235,1771.175236,1435.594614,3235.139682,0.09327488,0.108057633,Husary,Al-Bakara,1
002052.mp3,0.28084242,1613.912355,1488.090806,3109.575458,0.076868646,0.089238443,Husary,Al-Bakara,1
002053.mp3,0.28675255,1682.418471,1461.073647,3141.673958,0.08854523,0.097253456,Husary,Al-Bakara,1
